index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,1419,4218282.09,37125,2023-04-29,15.6,10.0,13.7,89.3
1,강동구,2175,4328257.56,42480,2023-04-29,15.6,10.0,13.7,89.3
2,강북구,869,2228364.47,19199,2023-04-29,15.6,10.0,13.7,89.3
3,강서구,5626,10146610.89,88472,2023-04-29,15.6,10.0,13.7,89.3
4,관악구,1373,3452678.96,29358,2023-04-29,15.6,10.0,13.7,89.3
5,광진구,2662,6438387.6,58058,2023-04-29,15.6,10.0,13.7,89.3
6,구로구,1871,4523924.69,36957,2023-04-29,15.6,10.0,13.7,89.3
7,금천구,644,1665744.85,12912,2023-04-29,15.6,10.0,13.7,89.3
8,노원구,3616,7942872.41,70105,2023-04-29,15.6,10.0,13.7,89.3
9,도봉구,1322,3174697.62,27865,2023-04-29,15.6,10.0,13.7,89.3
10,동대문구,1849,4523886.49,40484,2023-04-29,15.6,10.0,13.7,89.3
11,동작구,1070,3073910.52,28381,2023-04-29,15.6,10.0,13.7,89.3
12,마포구,2616,7261752.02,65805,2023-04-29,15.6,10.0,13.7,89.3
13,서대문구,1166,3377884.92,28617,2023-04-29,15.6,10.0,13.7,89.3
14,서초구,1473,4795617.8,41039,2023-04-29,15.6,10.0,13.7,89.3
15,성동구,1780,5486606.81,46944,2023-04-29,15.6,10.0,13.7,89.3
16,성북구,1301,3270124.61,28444,2023-04-29,15.6,10.0,13.7,89.3
17,송파구,4637,10549780.25,101473,2023-04-29,15.6,10.0,13.7,89.3
18,양천구,3324,6692250.27,61458,2023-04-29,15.6,10.0,13.7,89.3
19,영등포구,3602,8696572.34,79798,2023-04-29,15.6,10.0,13.7,89.3
20,용산구,1165,3770461.6,31790,2023-04-29,15.6,10.0,13.7,89.3
21,은평구,1559,3800003.31,33751,2023-04-29,15.6,10.0,13.7,89.3
22,종로구,1659,3488727.95,32427,2023-04-29,15.6,10.0,13.7,89.3
23,중구,1013,2412024.92,20703,2023-04-29,15.6,10.0,13.7,89.3
24,중랑구,1538,3275394.75,29337,2023-04-29,15.6,10.0,13.7,89.3
