index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,4826,18016489.41,143272,2022-08-31,24.8,19.6,21.7,83.9
1,강동구,7175,16110067.75,150090,2022-08-31,24.8,19.6,21.7,83.9
2,강북구,2206,5782679.08,49838,2022-08-31,24.8,19.6,21.7,83.9
3,강서구,19140,36991160.92,315817,2022-08-31,24.8,19.6,21.7,83.9
4,관악구,3955,10880022.28,90441,2022-08-31,24.8,19.6,21.7,83.9
5,광진구,7878,19810061.13,171191,2022-08-31,24.8,19.6,21.7,83.9
6,구로구,6418,17894441.77,138000,2022-08-31,24.8,19.6,21.7,83.9
7,금천구,3032,8453320.63,62928,2022-08-31,24.8,19.6,21.7,83.9
8,노원구,9192,23623117.04,191198,2022-08-31,24.8,19.6,21.7,83.9
9,도봉구,3255,9225447.66,73705,2022-08-31,24.8,19.6,21.7,83.9
10,동대문구,5998,15993485.75,137835,2022-08-31,24.8,19.6,21.7,83.9
11,동작구,3870,11981685.46,96984,2022-08-31,24.8,19.6,21.7,83.9
12,마포구,8418,27791160.09,233810,2022-08-31,24.8,19.6,21.7,83.9
13,서대문구,3194,11198032.81,84431,2022-08-31,24.8,19.6,21.7,83.9
14,서초구,5400,18107776.18,150620,2022-08-31,24.8,19.6,21.7,83.9
15,성동구,6244,20569244.2,165412,2022-08-31,24.8,19.6,21.7,83.9
16,성북구,4032,11120850.0,89852,2022-08-31,24.8,19.6,21.7,83.9
17,송파구,14623,36280218.63,323319,2022-08-31,24.8,19.6,21.7,83.9
18,양천구,9408,21092209.72,188092,2022-08-31,24.8,19.6,21.7,83.9
19,영등포구,14084,40323454.97,344856,2022-08-31,24.8,19.6,21.7,83.9
20,용산구,3340,12038760.18,93147,2022-08-31,24.8,19.6,21.7,83.9
21,은평구,4478,11917918.4,99338,2022-08-31,24.8,19.6,21.7,83.9
22,종로구,5662,13116499.15,128401,2022-08-31,24.8,19.6,21.7,83.9
23,중구,3860,10099761.06,92817,2022-08-31,24.8,19.6,21.7,83.9
24,중랑구,4613,11322978.1,94117,2022-08-31,24.8,19.6,21.7,83.9
