STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,2667,6097395.6,53251,2023-08-30
강동구,3538,6692679.48,61455,2023-08-30
강북구,1282,2771381.57,25086,2023-08-30
강서구,18113,28259903.75,244782,2023-08-30
관악구,2364,5404787.69,44803,2023-08-30
광진구,4153,7529776.73,66047,2023-08-30
구로구,4517,9012400.81,72814,2023-08-30
금천구,2122,4179421.23,32970,2023-08-30
노원구,5384,10712620.0,93979,2023-08-30
도봉구,2118,5195480.42,42154,2023-08-30
동대문구,2921,6125347.41,54183,2023-08-30
동작구,1962,4589821.46,37220,2023-08-30
마포구,5125,12090495.7,105788,2023-08-30
서대문구,2197,5696745.86,44105,2023-08-30
서초구,2429,5497320.19,47460,2023-08-30
성동구,3070,6996154.71,61187,2023-08-30
성북구,1932,4324613.9,34777,2023-08-30
송파구,6753,13565614.01,121110,2023-08-30
양천구,7112,13144206.26,115454,2023-08-30
영등포구,8774,16691242.12,161460,2023-08-30
용산구,1681,4179238.42,33538,2023-08-30
은평구,3302,6979318.0200000005,59227,2023-08-30
종로구,2932,5415528.05,56663,2023-08-30
중구,2133,4075498.48,43913,2023-08-30
중랑구,2153,4542752.19,35675,2023-08-30
