STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,2791,6285848.57,53290,2023-12-06
강동구,3476,6093451.13,57406,2023-12-06
강북구,1217,2417750.43,22836,2023-12-06
강서구,12236,17455590.92,148861,2023-12-06
관악구,2080,3893218.39,35260,2023-12-06
광진구,4392,7392930.41,70361,2023-12-06
구로구,3707,7156615.01,58954,2023-12-06
금천구,1894,3357818.32,27390,2023-12-06
노원구,5174,9055483.43,80898,2023-12-06
도봉구,1599,3200321.13,26926,2023-12-06
동대문구,3087,6430383.86,56426,2023-12-06
동작구,1640,3533365.21,29237,2023-12-06
마포구,3726,7639202.65,68395,2023-12-06
서대문구,1642,3828533.63,29711,2023-12-06
서초구,2446,4831069.57,42926,2023-12-06
성동구,3432,6747790.45,59264,2023-12-06
성북구,2221,4520520.16,37534,2023-12-06
송파구,7425,13798301.09,130268,2023-12-06
양천구,5157,8889218.53,80460,2023-12-06
영등포구,7597,12891616.64,123587,2023-12-06
용산구,1416,2974277.34,25676,2023-12-06
은평구,2053,3832475.37,33255,2023-12-06
종로구,3294,5373802.12,56097,2023-12-06
중구,2313,4541644.16,47001,2023-12-06
중랑구,2339,4357606.72,37152,2023-12-06
