index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,2411,5671794.37,50396,2023-12-27,6.6,-2.7,0.3,77.2
1,강동구,3361,5923512.78,63203,2023-12-27,6.6,-2.7,0.3,77.2
2,강북구,1156,2316562.31,22971,2023-12-27,6.6,-2.7,0.3,77.2
3,강서구,10709,15690703.57,143541,2023-12-27,6.6,-2.7,0.3,77.2
4,관악구,1841,3661680.11,34338,2023-12-27,6.6,-2.7,0.3,77.2
5,광진구,3752,6711508.93,68772,2023-12-27,6.6,-2.7,0.3,77.2
6,구로구,3253,6643534.37,57961,2023-12-27,6.6,-2.7,0.3,77.2
7,금천구,1625,3249773.57,25635,2023-12-27,6.6,-2.7,0.3,77.2
8,노원구,5072,9256140.44,86746,2023-12-27,6.6,-2.7,0.3,77.2
9,도봉구,1751,3582279.11,32640,2023-12-27,6.6,-2.7,0.3,77.2
10,동대문구,2822,5669023.7,53861,2023-12-27,6.6,-2.7,0.3,77.2
11,동작구,1501,3248407.76,27054,2023-12-27,6.6,-2.7,0.3,77.2
12,마포구,3566,7481370.74,69534,2023-12-27,6.6,-2.7,0.3,77.2
13,서대문구,1472,3360607.9,27737,2023-12-27,6.6,-2.7,0.3,77.2
14,서초구,2217,4874469.65,45575,2023-12-27,6.6,-2.7,0.3,77.2
15,성동구,3456,7559074.4799999995,69430,2023-12-27,6.6,-2.7,0.3,77.2
16,성북구,2064,4207988.38,37548,2023-12-27,6.6,-2.7,0.3,77.2
17,송파구,7047,12681199.79,127160,2023-12-27,6.6,-2.7,0.3,77.2
18,양천구,5064,8726002.97,83378,2023-12-27,6.6,-2.7,0.3,77.2
19,영등포구,7081,13143693.75,127341,2023-12-27,6.6,-2.7,0.3,77.2
20,용산구,1383,3204278.14,28923,2023-12-27,6.6,-2.7,0.3,77.2
21,은평구,1881,3283769.22,32497,2023-12-27,6.6,-2.7,0.3,77.2
22,종로구,3037,5398528.73,60223,2023-12-27,6.6,-2.7,0.3,77.2
23,중구,2221,4488561.17,47282,2023-12-27,6.6,-2.7,0.3,77.2
24,중랑구,2396,4327113.36,40317,2023-12-27,6.6,-2.7,0.3,77.2
