index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,2807,7618603.57,64276,2023-02-09,9.6,-2.6,1.8,46.5
1,강동구,3876,7113699.52,70308,2023-02-09,9.6,-2.6,1.8,46.5
2,강북구,1354,2914681.96,25960,2023-02-09,9.6,-2.6,1.8,46.5
3,강서구,10748,17334740.67,147005,2023-02-09,9.6,-2.6,1.8,46.5
4,관악구,2027,4469204.08,35916,2023-02-09,9.6,-2.6,1.8,46.5
5,광진구,4056,8364580.56,74416,2023-02-09,9.6,-2.6,1.8,46.5
6,구로구,3451,7849191.87,63206,2023-02-09,9.6,-2.6,1.8,46.5
7,금천구,1672,3707308.61,27282,2023-02-09,9.6,-2.6,1.8,46.5
8,노원구,5038,10593953.41,92997,2023-02-09,9.6,-2.6,1.8,46.5
9,도봉구,1812,3957631.12,34570,2023-02-09,9.6,-2.6,1.8,46.5
10,동대문구,3124,7180547.71,63444,2023-02-09,9.6,-2.6,1.8,46.5
11,동작구,1634,3863266.99,31227,2023-02-09,9.6,-2.6,1.8,46.5
12,마포구,4281,10462172.19,95817,2023-02-09,9.6,-2.6,1.8,46.5
13,서대문구,1771,4558933.43,36054,2023-02-09,9.6,-2.6,1.8,46.5
14,서초구,2726,7096923.39,61457,2023-02-09,9.6,-2.6,1.8,46.5
15,성동구,3658,9145703.95,77123,2023-02-09,9.6,-2.6,1.8,46.5
16,성북구,2140,5239138.04,44707,2023-02-09,9.6,-2.6,1.8,46.5
17,송파구,8293,17138341.12,162612,2023-02-09,9.6,-2.6,1.8,46.5
18,양천구,5217,9550576.92,86006,2023-02-09,9.6,-2.6,1.8,46.5
19,영등포구,7675,16592053.06,150391,2023-02-09,9.6,-2.6,1.8,46.5
20,용산구,1567,4122576.0100000002,35509,2023-02-09,9.6,-2.6,1.8,46.5
21,은평구,2264,4582068.75,41011,2023-02-09,9.6,-2.6,1.8,46.5
22,종로구,3424,6727924.19,65711,2023-02-09,9.6,-2.6,1.8,46.5
23,중구,2501,5522042.03,52522,2023-02-09,9.6,-2.6,1.8,46.5
24,중랑구,2496,5255466.45,43591,2023-02-09,9.6,-2.6,1.8,46.5
