STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,2993,8518974.64,69850,2023-02-15
강동구,4019,7597322.87,73582,2023-02-15
강북구,1407,3259978.2,29732,2023-02-15
강서구,11154,18287818.32,159892,2023-02-15
관악구,2286,4791558.57,43657,2023-02-15
광진구,4299,9216559.68,81860,2023-02-15
구로구,3662,8269021.16,68453,2023-02-15
금천구,1767,3800761.5100000002,29277,2023-02-15
노원구,5452,11743244.65,101436,2023-02-15
도봉구,1903,4370711.23,37300,2023-02-15
동대문구,3375,7838970.1,67246,2023-02-15
동작구,1843,4500407.47,39166,2023-02-15
마포구,4540,11393982.39,98754,2023-02-15
서대문구,1921,5179886.44,40706,2023-02-15
서초구,2923,7763915.63,65722,2023-02-15
성동구,3908,10109722.87,84025,2023-02-15
성북구,2207,5199563.08,44305,2023-02-15
송파구,8590,17678746.95,166954,2023-02-15
양천구,5546,10506039.13,93078,2023-02-15
영등포구,7849,17185726.14,147370,2023-02-15
용산구,1717,4813500.48,39420,2023-02-15
은평구,2442,5307520.75,48183,2023-02-15
종로구,3662,7055159.48,67830,2023-02-15
중구,2703,5900877.19,53956,2023-02-15
중랑구,2498,5531962.8,45154,2023-02-15
