index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,696,1534822.95,15187,2023-01-26,-3.4,-8.8,-9.7,77.3
1,강동구,1002,1501006.87,16856,2023-01-26,-3.4,-8.8,-9.7,77.3
2,강북구,372,746307.57,7872,2023-01-26,-3.4,-8.8,-9.7,77.3
3,강서구,3443,4591468.26,43237,2023-01-26,-3.4,-8.8,-9.7,77.3
4,관악구,584,1055186.69,11080,2023-01-26,-3.4,-8.8,-9.7,77.3
5,광진구,1249,1999325.0,21184,2023-01-26,-3.4,-8.8,-9.7,77.3
6,구로구,867,1635330.39,14516,2023-01-26,-3.4,-8.8,-9.7,77.3
7,금천구,408,709144.38,5835,2023-01-26,-3.4,-8.8,-9.7,77.3
8,노원구,1538,2576989.04,26101,2023-01-26,-3.4,-8.8,-9.7,77.3
9,도봉구,548,878655.0599999999,9220,2023-01-26,-3.4,-8.8,-9.7,77.3
10,동대문구,972,1827530.37,16883,2023-01-26,-3.4,-8.8,-9.7,77.3
11,동작구,352,649124.5,5749,2023-01-26,-3.4,-8.8,-9.7,77.3
12,마포구,1129,2040449.68,23212,2023-01-26,-3.4,-8.8,-9.7,77.3
13,서대문구,513,1072409.42,9896,2023-01-26,-3.4,-8.8,-9.7,77.3
14,서초구,594,1182060.19,12458,2023-01-26,-3.4,-8.8,-9.7,77.3
15,성동구,1056,2024202.51,20938,2023-01-26,-3.4,-8.8,-9.7,77.3
16,성북구,519,943790.88,8987,2023-01-26,-3.4,-8.8,-9.7,77.3
17,송파구,1915,3248990.38,34831,2023-01-26,-3.4,-8.8,-9.7,77.3
18,양천구,1503,2198127.72,21663,2023-01-26,-3.4,-8.8,-9.7,77.3
19,영등포구,1870,2973263.36,31843,2023-01-26,-3.4,-8.8,-9.7,77.3
20,용산구,333,623070.09,6300,2023-01-26,-3.4,-8.8,-9.7,77.3
21,은평구,607,965936.92,10398,2023-01-26,-3.4,-8.8,-9.7,77.3
22,종로구,952,1510359.4,18587,2023-01-26,-3.4,-8.8,-9.7,77.3
23,중구,571,955926.39,11038,2023-01-26,-3.4,-8.8,-9.7,77.3
24,중랑구,747,1164620.04,10107,2023-01-26,-3.4,-8.8,-9.7,77.3
