STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,1616,4354126.41,39356,2024-01-27
강동구,2557,4835647.77,52423,2024-01-27
강북구,847,1847542.05,18216,2024-01-27
강서구,6879,11151799.1,102523,2024-01-27
관악구,1543,3337508.93,29568,2024-01-27
광진구,2796,5617321.51,54642,2024-01-27
구로구,2303,4966972.09,42487,2024-01-27
금천구,786,1767215.41,14787,2024-01-27
노원구,3709,7548748.59,72494,2024-01-27
도봉구,1402,2891704.83,28182,2024-01-27
동대문구,1998,4283690.59,41146,2024-01-27
동작구,1147,2984632.61,26400,2024-01-27
마포구,2581,6315208.35,60059,2024-01-27
서대문구,1112,2934924.19,25531,2024-01-27
서초구,1611,4179948.15,37593,2024-01-27
성동구,1923,4956076.62,44152,2024-01-27
성북구,1490,3288112.11,29857,2024-01-27
송파구,5325,10738466.38,107532,2024-01-27
양천구,4039,7165093.29,69615,2024-01-27
영등포구,4655,9558624.7,91975,2024-01-27
용산구,1093,2845516.41,23089,2024-01-27
은평구,1563,3158603.56,28785,2024-01-27
종로구,1746,3350713.13,33144,2024-01-27
중구,1222,2628013.42,26442,2024-01-27
중랑구,1758,3492585.17,32467,2024-01-27
