index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,3136,12778124.55,103398,2022-07-24,28.0,22.2,25.8,86.6
1,강동구,5015,13479703.08,120492,2022-07-24,28.0,22.2,25.8,86.6
2,강북구,1722,5314562.81,43438,2022-07-24,28.0,22.2,25.8,86.6
3,강서구,11538,27812052.06,228580,2022-07-24,28.0,22.2,25.8,86.6
4,관악구,3524,11966938.47,92158,2022-07-24,28.0,22.2,25.8,86.6
5,광진구,5399,17137432.25,139352,2022-07-24,28.0,22.2,25.8,86.6
6,구로구,4232,15648495.02,117690,2022-07-24,28.0,22.2,25.8,86.6
7,금천구,1358,5243725.36,41267,2022-07-24,28.0,22.2,25.8,86.6
8,노원구,7151,21432389.95,168399,2022-07-24,28.0,22.2,25.8,86.6
9,도봉구,2679,9626448.9,70948,2022-07-24,28.0,22.2,25.8,86.6
10,동대문구,3644,11691066.38,92088,2022-07-24,28.0,22.2,25.8,86.6
11,동작구,2547,9411232.62,77552,2022-07-24,28.0,22.2,25.8,86.6
12,마포구,6982,27003160.94,227818,2022-07-24,28.0,22.2,25.8,86.6
13,서대문구,2661,10013504.64,79292,2022-07-24,28.0,22.2,25.8,86.6
14,서초구,3383,14397756.32,114923,2022-07-24,28.0,22.2,25.8,86.6
15,성동구,4273,17201206.82,138026,2022-07-24,28.0,22.2,25.8,86.6
16,성북구,3032,9678075.8,75173,2022-07-24,28.0,22.2,25.8,86.6
17,송파구,10256,29639308.87,260654,2022-07-24,28.0,22.2,25.8,86.6
18,양천구,6807,16640617.52,145983,2022-07-24,28.0,22.2,25.8,86.6
19,영등포구,8725,30044588.62,249618,2022-07-24,28.0,22.2,25.8,86.6
20,용산구,2744,10833699.53,84645,2022-07-24,28.0,22.2,25.8,86.6
21,은평구,3011,10218905.71,80806,2022-07-24,28.0,22.2,25.8,86.6
22,종로구,3642,9160530.89,85279,2022-07-24,28.0,22.2,25.8,86.6
23,중구,2353,6430721.9,59928,2022-07-24,28.0,22.2,25.8,86.6
24,중랑구,3403,10194173.18,81080,2022-07-24,28.0,22.2,25.8,86.6
