STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,6212,21229208.96,167361,2023-06-01
강동구,8561,18261319.74,166132,2023-06-01
강북구,2837,7155328.2,61242,2023-06-01
강서구,23723,44255576.32,365859,2023-06-01
관악구,4988,13890485.25,105869,2023-06-01
광진구,9038,21194491.63,183814,2023-06-01
구로구,8615,22242993.97,170545,2023-06-01
금천구,3883,10181150.74,72157,2023-06-01
노원구,12339,28620459.79,234411,2023-06-01
도봉구,4335,11211413.83,90122,2023-06-01
동대문구,7393,19644777.31,158058,2023-06-01
동작구,4082,11913982.01,92368,2023-06-01
마포구,9336,29102944.22,238211,2023-06-01
서대문구,3750,11318795.2,83812,2023-06-01
서초구,5530,18230193.33,141656,2023-06-01
성동구,7626,23592098.91,186811,2023-06-01
성북구,5069,13076362.88,103879,2023-06-01
송파구,17899,43193114.91,368153,2023-06-01
양천구,10852,23059198.92,198705,2023-06-01
영등포구,16235,43280978.38,360196,2023-06-01
용산구,3840,13031050.59,97899,2023-06-01
은평구,4917,11735661.43,97226,2023-06-01
종로구,7007,15562583.42,143580,2023-06-01
중구,5128,13064106.1,115628,2023-06-01
중랑구,5962,15152241.78,120185,2023-06-01
