index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,1390,4000297.83,35026,2022-03-14,13.0,5.6,7.2,90.3
1,강동구,1989,3319248.51,33152,2022-03-14,13.0,5.6,7.2,90.3
2,강북구,771,1702457.71,15175,2022-03-14,13.0,5.6,7.2,90.3
3,강서구,5448,8173605.51,76719,2022-03-14,13.0,5.6,7.2,90.3
4,관악구,1192,2616518.66,23681,2022-03-14,13.0,5.6,7.2,90.3
5,광진구,2414,4504020.94,40201,2022-03-14,13.0,5.6,7.2,90.3
6,구로구,1760,4052252.07,33200,2022-03-14,13.0,5.6,7.2,90.3
7,금천구,970,1983072.67,16278,2022-03-14,13.0,5.6,7.2,90.3
8,노원구,2758,5707595.18,50710,2022-03-14,13.0,5.6,7.2,90.3
9,도봉구,1053,2459499.12,20895,2022-03-14,13.0,5.6,7.2,90.3
10,동대문구,2020,4447765.14,40737,2022-03-14,13.0,5.6,7.2,90.3
11,동작구,847,2212694.93,18505,2022-03-14,13.0,5.6,7.2,90.3
12,마포구,2562,5956980.15,54103,2022-03-14,13.0,5.6,7.2,90.3
13,서대문구,1193,2886898.94,23852,2022-03-14,13.0,5.6,7.2,90.3
14,서초구,1302,3139965.41,28261,2022-03-14,13.0,5.6,7.2,90.3
15,성동구,1898,4828557.21,39334,2022-03-14,13.0,5.6,7.2,90.3
16,성북구,1440,3336910.48,27269,2022-03-14,13.0,5.6,7.2,90.3
17,송파구,4173,8284387.55,79765,2022-03-14,13.0,5.6,7.2,90.3
18,양천구,2729,5121248.69,47463,2022-03-14,13.0,5.6,7.2,90.3
19,영등포구,3827,8199605.44,75487,2022-03-14,13.0,5.6,7.2,90.3
20,용산구,851,2056974.68,17712,2022-03-14,13.0,5.6,7.2,90.3
21,은평구,1192,2313538.95,22358,2022-03-14,13.0,5.6,7.2,90.3
22,종로구,1954,3508356.49,34971,2022-03-14,13.0,5.6,7.2,90.3
23,중구,1315,2807657.15,26475,2022-03-14,13.0,5.6,7.2,90.3
24,중랑구,1328,2518038.71,23201,2022-03-14,13.0,5.6,7.2,90.3
