index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,4539,13842831.62,109484,2022-11-21,16.2,9.4,12.0,67.8
1,강동구,6694,12985176.5,120406,2022-11-21,16.2,9.4,12.0,67.8
2,강북구,1772,4160997.52,37456,2022-11-21,16.2,9.4,12.0,67.8
3,강서구,17795,29162610.58,248076,2022-11-21,16.2,9.4,12.0,67.8
4,관악구,3557,8482834.76,71562,2022-11-21,16.2,9.4,12.0,67.8
5,광진구,7003,14141696.73,128238,2022-11-21,16.2,9.4,12.0,67.8
6,구로구,5965,14253765.62,112412,2022-11-21,16.2,9.4,12.0,67.8
7,금천구,2835,6677953.77,49314,2022-11-21,16.2,9.4,12.0,67.8
8,노원구,8078,17593009.38,149406,2022-11-21,16.2,9.4,12.0,67.8
9,도봉구,2662,6257927.39,50952,2022-11-21,16.2,9.4,12.0,67.8
10,동대문구,5115,11848754.96,103706,2022-11-21,16.2,9.4,12.0,67.8
11,동작구,2957,7500042.65,59904,2022-11-21,16.2,9.4,12.0,67.8
12,마포구,7131,18059378.42,154437,2022-11-21,16.2,9.4,12.0,67.8
13,서대문구,2937,7929108.83,62115,2022-11-21,16.2,9.4,12.0,67.8
14,서초구,4470,12473519.31,101763,2022-11-21,16.2,9.4,12.0,67.8
15,성동구,5724,15558568.38,129089,2022-11-21,16.2,9.4,12.0,67.8
16,성북구,3590,8458263.6,73461,2022-11-21,16.2,9.4,12.0,67.8
17,송파구,13729,29149854.52,267626,2022-11-21,16.2,9.4,12.0,67.8
18,양천구,8788,16896025.76,148280,2022-11-21,16.2,9.4,12.0,67.8
19,영등포구,12576,29115562.13,244295,2022-11-21,16.2,9.4,12.0,67.8
20,용산구,2650,7803491.79,60473,2022-11-21,16.2,9.4,12.0,67.8
21,은평구,3746,8037658.0,68646,2022-11-21,16.2,9.4,12.0,67.8
22,종로구,5633,11516725.33,110914,2022-11-21,16.2,9.4,12.0,67.8
23,중구,3862,8662990.84,80147,2022-11-21,16.2,9.4,12.0,67.8
24,중랑구,3998,8531369.51,70943,2022-11-21,16.2,9.4,12.0,67.8
