index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,4992,17219869.62,139832,2022-10-14,23.0,12.1,16.8,73.5
1,강동구,8063,16978828.14,160492,2022-10-14,23.0,12.1,16.8,73.5
2,강북구,2399,5986355.49,51861,2022-10-14,23.0,12.1,16.8,73.5
3,강서구,21927,38530186.0,335878,2022-10-14,23.0,12.1,16.8,73.5
4,관악구,4377,11236435.76,92554,2022-10-14,23.0,12.1,16.8,73.5
5,광진구,8215,19183590.56,170499,2022-10-14,23.0,12.1,16.8,73.5
6,구로구,7354,18947700.44,151923,2022-10-14,23.0,12.1,16.8,73.5
7,금천구,3362,8968279.23,68948,2022-10-14,23.0,12.1,16.8,73.5
8,노원구,10166,23184542.96,197367,2022-10-14,23.0,12.1,16.8,73.5
9,도봉구,3560,8992679.46,75388,2022-10-14,23.0,12.1,16.8,73.5
10,동대문구,6086,15205497.8,130679,2022-10-14,23.0,12.1,16.8,73.5
11,동작구,3821,10613419.83,87534,2022-10-14,23.0,12.1,16.8,73.5
12,마포구,9268,26635754.48,234907,2022-10-14,23.0,12.1,16.8,73.5
13,서대문구,3496,10285533.76,81948,2022-10-14,23.0,12.1,16.8,73.5
14,서초구,5665,17757261.75,148278,2022-10-14,23.0,12.1,16.8,73.5
15,성동구,7045,21680941.37,181724,2022-10-14,23.0,12.1,16.8,73.5
16,성북구,4396,11380834.19,92876,2022-10-14,23.0,12.1,16.8,73.5
17,송파구,16602,38407578.02,355778,2022-10-14,23.0,12.1,16.8,73.5
18,양천구,10589,21402147.89,195980,2022-10-14,23.0,12.1,16.8,73.5
19,영등포구,15008,39341972.23,347805,2022-10-14,23.0,12.1,16.8,73.5
20,용산구,3573,11926991.99,94559,2022-10-14,23.0,12.1,16.8,73.5
21,은평구,4634,10583534.46,93846,2022-10-14,23.0,12.1,16.8,73.5
22,종로구,6241,13665858.35,139670,2022-10-14,23.0,12.1,16.8,73.5
23,중구,4444,11206525.93,105383,2022-10-14,23.0,12.1,16.8,73.5
24,중랑구,5121,12179115.85,102178,2022-10-14,23.0,12.1,16.8,73.5
