STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,5410,21214040.06,180287,2023-10-03
강동구,7060,18331491.08,174698,2023-10-03
강북구,2460,7319451.25,63930,2023-10-03
강서구,16399,36701487.56,315187,2023-10-03
관악구,4250,14190667.58,112309,2023-10-03
광진구,8808,25957994.76,224982,2023-10-03
구로구,6237,20477535.95,165759,2023-10-03
금천구,2223,8441922.64,64138,2023-10-03
노원구,9722,27103351.99,222750,2023-10-03
도봉구,3732,12061023.73,91222,2023-10-03
동대문구,5298,16168635.79,132368,2023-10-03
동작구,4075,14144282.58,122825,2023-10-03
마포구,9941,36700465.77,331813,2023-10-03
서대문구,3555,13563169.2,108096,2023-10-03
서초구,5398,21709287.59,192286,2023-10-03
성동구,7028,27465390.6,236365,2023-10-03
성북구,4110,12032766.36,96491,2023-10-03
송파구,15295,43726296.08,412345,2023-10-03
양천구,9433,23051410.97,202975,2023-10-03
영등포구,14444,47469500.42,422496,2023-10-03
용산구,4722,18576436.03,154927,2023-10-03
은평구,4321,13454733.22,112756,2023-10-03
종로구,4786,11572375.58,108366,2023-10-03
중구,3316,8981498.33,82529,2023-10-03
중랑구,5036,14004998.06,115039,2023-10-03
