index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,5626,19959671.61,158297,2022-09-28,25.6,16.0,20.3,69.6
1,강동구,8762,18639160.81,170500,2022-09-28,25.6,16.0,20.3,69.6
2,강북구,2674,6699984.45,56972,2022-09-28,25.6,16.0,20.3,69.6
3,강서구,22964,42631335.83,359470,2022-09-28,25.6,16.0,20.3,69.6
4,관악구,4730,13360658.01,104408,2022-09-28,25.6,16.0,20.3,69.6
5,광진구,8846,22118065.13,181815,2022-09-28,25.6,16.0,20.3,69.6
6,구로구,7684,20438341.78,158454,2022-09-28,25.6,16.0,20.3,69.6
7,금천구,3658,9435562.42,68992,2022-09-28,25.6,16.0,20.3,69.6
8,노원구,11156,26554691.12,216550,2022-09-28,25.6,16.0,20.3,69.6
9,도봉구,3992,10723709.67,84431,2022-09-28,25.6,16.0,20.3,69.6
10,동대문구,6706,17295764.5,139034,2022-09-28,25.6,16.0,20.3,69.6
11,동작구,4021,11993411.45,94404,2022-09-28,25.6,16.0,20.3,69.6
12,마포구,9624,29738104.83,243541,2022-09-28,25.6,16.0,20.3,69.6
13,서대문구,3649,11309687.42,85890,2022-09-28,25.6,16.0,20.3,69.6
14,서초구,5767,19234163.29,152004,2022-09-28,25.6,16.0,20.3,69.6
15,성동구,7341,23564468.88,182736,2022-09-28,25.6,16.0,20.3,69.6
16,성북구,4820,12332363.4,99610,2022-09-28,25.6,16.0,20.3,69.6
17,송파구,17482,41790488.75,372094,2022-09-28,25.6,16.0,20.3,69.6
18,양천구,10847,22478901.38,197460,2022-09-28,25.6,16.0,20.3,69.6
19,영등포구,15938,43568020.7,363318,2022-09-28,25.6,16.0,20.3,69.6
20,용산구,3935,13718809.62,105414,2022-09-28,25.6,16.0,20.3,69.6
21,은평구,5093,12715038.77,104724,2022-09-28,25.6,16.0,20.3,69.6
22,종로구,6423,14543483.71,138047,2022-09-28,25.6,16.0,20.3,69.6
23,중구,4353,10935843.94,100671,2022-09-28,25.6,16.0,20.3,69.6
24,중랑구,5508,13062803.27,105519,2022-09-28,25.6,16.0,20.3,69.6
