STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,2130,21.67793427230047,2024-12-31,Tuesday,False,False
강동구,2996,18.139185580774367,2024-12-31,Tuesday,False,False
강북구,998,19.534068136272545,2024-12-31,Tuesday,False,False
강서구,9643,13.385668360468733,2024-12-31,Tuesday,False,False
관악구,1414,17.78995756718529,2024-12-31,Tuesday,False,False
광진구,3442,18.12202208018594,2024-12-31,Tuesday,False,False
구로구,3346,15.832038254632398,2024-12-31,Tuesday,False,False
금천구,1421,15.192118226600986,2024-12-31,Tuesday,False,False
노원구,4654,17.895788568972925,2024-12-31,Tuesday,False,False
도봉구,1489,18.930826057756885,2024-12-31,Tuesday,False,False
동대문구,2532,20.002764612954188,2024-12-31,Tuesday,False,False
동작구,1187,20.436394271272114,2024-12-31,Tuesday,False,False
마포구,3009,20.40977068793619,2024-12-31,Tuesday,False,False
서대문구,1318,19.974962063732928,2024-12-31,Tuesday,False,False
서초구,1870,20.867379679144385,2024-12-31,Tuesday,False,False
성동구,2661,19.122510334460728,2024-12-31,Tuesday,False,False
성북구,1469,18.456092579986386,2024-12-31,Tuesday,False,False
송파구,6204,18.676982591876207,2024-12-31,Tuesday,False,False
양천구,4944,16.674959546925567,2024-12-31,Tuesday,False,False
영등포구,7134,18.218811326044296,2024-12-31,Tuesday,False,False
용산구,1083,22.58079409048938,2024-12-31,Tuesday,False,False
은평구,1718,17.269499417927822,2024-12-31,Tuesday,False,False
종로구,2338,20.15568862275449,2024-12-31,Tuesday,False,False
중구,1874,22.500533617929563,2024-12-31,Tuesday,False,False
중랑구,2071,16.65427329792371,2024-12-31,Tuesday,False,False
