STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,1914,29.473354231974923,2024-02-12,Monday,True,False
강동구,2863,20.881942018861334,2024-02-12,Monday,True,False
강북구,1120,23.966964285714287,2024-02-12,Monday,True,False
강서구,7059,16.86711998866695,2024-02-12,Monday,True,False
관악구,1637,25.70739156994502,2024-02-12,Monday,True,False
광진구,3150,24.156825396825397,2024-02-12,Monday,True,False
구로구,2606,22.893323100537224,2024-02-12,Monday,True,False
금천구,870,25.041379310344826,2024-02-12,Monday,True,False
노원구,4104,20.633528265107213,2024-02-12,Monday,True,False
도봉구,1618,23.355995055624227,2024-02-12,Monday,True,False
동대문구,2170,23.167281105990785,2024-02-12,Monday,True,False
동작구,1405,28.429893238434165,2024-02-12,Monday,True,False
마포구,3385,28.608862629246676,2024-02-12,Monday,True,False
서대문구,1413,26.95116772823779,2024-02-12,Monday,True,False
서초구,1808,29.686946902654867,2024-02-12,Monday,True,False
성동구,2334,27.91388174807198,2024-02-12,Monday,True,False
성북구,1548,23.587855297157624,2024-02-12,Monday,True,False
송파구,6363,23.057520037718056,2024-02-12,Monday,True,False
양천구,4276,19.735032740879326,2024-02-12,Monday,True,False
영등포구,5446,24.316746235769372,2024-02-12,Monday,True,False
용산구,1459,27.945167923235093,2024-02-12,Monday,True,False
은평구,1856,23.936422413793103,2024-02-12,Monday,True,False
종로구,1705,18.832844574780058,2024-02-12,Monday,True,False
중구,1240,22.245967741935484,2024-02-12,Monday,True,False
중랑구,2098,21.316968541468064,2024-02-12,Monday,True,False
