STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,2626,21.112718964204113,2025-01-23,Thursday,False,False
강동구,3427,18.186752261453165,2025-01-23,Thursday,False,False
강북구,1052,20.638783269961976,2025-01-23,Thursday,False,False
강서구,11402,12.798631818979127,2025-01-23,Thursday,False,False
관악구,1472,20.418478260869566,2025-01-23,Thursday,False,False
광진구,3681,17.93697364846509,2025-01-23,Thursday,False,False
구로구,3515,16.776386913229018,2025-01-23,Thursday,False,False
금천구,1665,14.604204204204205,2025-01-23,Thursday,False,False
노원구,4827,17.79034597058214,2025-01-23,Thursday,False,False
도봉구,1544,18.47085492227979,2025-01-23,Thursday,False,False
동대문구,2547,18.68629760502552,2025-01-23,Thursday,False,False
동작구,1183,19.992392223161453,2025-01-23,Thursday,False,False
마포구,3380,20.516863905325444,2025-01-23,Thursday,False,False
서대문구,1451,19.47622329427981,2025-01-23,Thursday,False,False
서초구,2280,20.37763157894737,2025-01-23,Thursday,False,False
성동구,3194,19.548528490920475,2025-01-23,Thursday,False,False
성북구,1542,18.779507133592737,2025-01-23,Thursday,False,False
송파구,6932,18.34665320253895,2025-01-23,Thursday,False,False
양천구,5159,16.790269432060477,2025-01-23,Thursday,False,False
영등포구,7992,17.724974974974973,2025-01-23,Thursday,False,False
용산구,1226,20.792822185970635,2025-01-23,Thursday,False,False
은평구,1747,18.551230681167716,2025-01-23,Thursday,False,False
종로구,3129,20.124960051134547,2025-01-23,Thursday,False,False
중구,2206,21.18631006346328,2025-01-23,Thursday,False,False
중랑구,2129,17.182245185533112,2025-01-23,Thursday,False,False
