STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,2658,26.26598946576373,2025-07-26,Saturday,False,True
강동구,4809,20.425244333541276,2025-07-26,Saturday,False,True
강북구,1390,21.851798561151078,2025-07-26,Saturday,False,True
강서구,10717,15.980218344686012,2025-07-26,Saturday,False,True
관악구,2267,22.54344949272166,2025-07-26,Saturday,False,True
광진구,4732,20.27493660185968,2025-07-26,Saturday,False,True
구로구,3686,19.103906673901246,2025-07-26,Saturday,False,True
금천구,1194,20.269681742043552,2025-07-26,Saturday,False,True
노원구,6321,19.65875652586616,2025-07-26,Saturday,False,True
도봉구,2275,21.183296703296705,2025-07-26,Saturday,False,True
동대문구,3155,22.827892234548337,2025-07-26,Saturday,False,True
동작구,1663,25.16897173782321,2025-07-26,Saturday,False,True
마포구,4299,27.471970225633868,2025-07-26,Saturday,False,True
서대문구,1588,26.56045340050378,2025-07-26,Saturday,False,True
서초구,2661,26.75836151822623,2025-07-26,Saturday,False,True
성동구,3030,27.70990099009901,2025-07-26,Saturday,False,True
성북구,1930,23.152331606217615,2025-07-26,Saturday,False,True
송파구,8831,21.434831842373455,2025-07-26,Saturday,False,True
양천구,6137,18.47466188691543,2025-07-26,Saturday,False,True
영등포구,8036,21.715530114484817,2025-07-26,Saturday,False,True
용산구,1896,28.216244725738395,2025-07-26,Saturday,False,True
은평구,2406,22.99667497921862,2025-07-26,Saturday,False,True
종로구,2553,21.17626321974148,2025-07-26,Saturday,False,True
중구,1769,22.9903900508762,2025-07-26,Saturday,False,True
중랑구,2785,18.647037701974867,2025-07-26,Saturday,False,True
