STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,1105,27.390950226244343,2025-05-10,Saturday,False,True
강동구,1533,20.01761252446184,2025-05-10,Saturday,False,True
강북구,372,23.526881720430108,2025-05-10,Saturday,False,True
강서구,3464,16.725461893764436,2025-05-10,Saturday,False,True
관악구,674,27.258160237388726,2025-05-10,Saturday,False,True
광진구,1489,19.6910678307589,2025-05-10,Saturday,False,True
구로구,1230,21.841463414634145,2025-05-10,Saturday,False,True
금천구,386,18.96113989637306,2025-05-10,Saturday,False,True
노원구,1436,20.661559888579387,2025-05-10,Saturday,False,True
도봉구,439,23.20728929384966,2025-05-10,Saturday,False,True
동대문구,911,22.753018660812295,2025-05-10,Saturday,False,True
동작구,495,25.87070707070707,2025-05-10,Saturday,False,True
마포구,1209,25.910669975186103,2025-05-10,Saturday,False,True
서대문구,500,26.508,2025-05-10,Saturday,False,True
서초구,960,25.546875,2025-05-10,Saturday,False,True
성동구,926,23.563714902807774,2025-05-10,Saturday,False,True
성북구,477,20.262054507337528,2025-05-10,Saturday,False,True
송파구,2984,21.139745308310992,2025-05-10,Saturday,False,True
양천구,1929,19.157076205287712,2025-05-10,Saturday,False,True
영등포구,2412,23.809701492537314,2025-05-10,Saturday,False,True
용산구,504,26.009920634920636,2025-05-10,Saturday,False,True
은평구,640,22.125,2025-05-10,Saturday,False,True
종로구,677,24.722304283604135,2025-05-10,Saturday,False,True
중구,445,24.57752808988764,2025-05-10,Saturday,False,True
중랑구,627,20.159489633173845,2025-05-10,Saturday,False,True
