STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,4546,21.596788385393754,2024-11-07,Thursday,False,False
강동구,6165,17.878021086780212,2024-11-07,Thursday,False,False
강북구,1745,20.545558739255014,2024-11-07,Thursday,False,False
강서구,18671,13.125863638798137,2024-11-07,Thursday,False,False
관악구,2605,18.734740882917468,2024-11-07,Thursday,False,False
광진구,6529,17.639607903201103,2024-11-07,Thursday,False,False
구로구,6064,17.148087071240106,2024-11-07,Thursday,False,False
금천구,2954,15.227488151658768,2024-11-07,Thursday,False,False
노원구,8335,17.766646670665867,2024-11-07,Thursday,False,False
도봉구,2858,18.046186144156753,2024-11-07,Thursday,False,False
동대문구,4475,19.59664804469274,2024-11-07,Thursday,False,False
동작구,2285,20.7855579868709,2024-11-07,Thursday,False,False
마포구,6021,21.317389138016942,2024-11-07,Thursday,False,False
서대문구,2509,20.410920685532083,2024-11-07,Thursday,False,False
서초구,4208,21.018298479087452,2024-11-07,Thursday,False,False
성동구,5459,20.687671734749955,2024-11-07,Thursday,False,False
성북구,2913,19.575695159629248,2024-11-07,Thursday,False,False
송파구,12403,18.3180682093042,2024-11-07,Thursday,False,False
양천구,8627,16.98956763649009,2024-11-07,Thursday,False,False
영등포구,13534,18.600783212649624,2024-11-07,Thursday,False,False
용산구,2284,22.53108581436077,2024-11-07,Thursday,False,False
은평구,3090,18.254045307443366,2024-11-07,Thursday,False,False
종로구,4957,19.438773451684487,2024-11-07,Thursday,False,False
중구,3484,21.978473019517796,2024-11-07,Thursday,False,False
중랑구,3711,17.481541363513877,2024-11-07,Thursday,False,False
