STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,3996,33.026026026026024,2025-10-09,Thursday,True,False
강동구,5438,24.097278411180582,2025-10-09,Thursday,True,False
강북구,1366,23.24743777452416,2025-10-09,Thursday,True,False
강서구,11591,18.128461737555,2025-10-09,Thursday,True,False
관악구,2455,25.578818737270876,2025-10-09,Thursday,True,False
광진구,5708,26.76366503153469,2025-10-09,Thursday,True,False
구로구,4325,24.667514450867053,2025-10-09,Thursday,True,False
금천구,1403,28.714896650035637,2025-10-09,Thursday,True,False
노원구,6378,23.005487613672,2025-10-09,Thursday,True,False
도봉구,2357,24.491726771319474,2025-10-09,Thursday,True,False
동대문구,3476,26.270138089758344,2025-10-09,Thursday,True,False
동작구,2154,29.46703806870938,2025-10-09,Thursday,True,False
마포구,6479,32.72588362401605,2025-10-09,Thursday,True,False
서대문구,2321,28.40025850926325,2025-10-09,Thursday,True,False
서초구,3641,32.579236473496294,2025-10-09,Thursday,True,False
성동구,4940,33.96275303643725,2025-10-09,Thursday,True,False
성북구,2356,27.329796264855688,2025-10-09,Thursday,True,False
송파구,11560,25.901557093425605,2025-10-09,Thursday,True,False
양천구,6649,21.467137915476012,2025-10-09,Thursday,True,False
영등포구,10003,27.626112166350094,2025-10-09,Thursday,True,False
용산구,3133,31.57899776571976,2025-10-09,Thursday,True,False
은평구,2918,25.445167923235093,2025-10-09,Thursday,True,False
종로구,3152,23.77030456852792,2025-10-09,Thursday,True,False
중구,2153,25.45750116117046,2025-10-09,Thursday,True,False
중랑구,3080,22.433766233766235,2025-10-09,Thursday,True,False
