STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,1419,26.162790697674417,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
강동구,2175,19.53103448275862,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
강북구,869,22.093210586881472,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
강서구,5626,15.725559900462141,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
관악구,1373,21.382374362709395,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
광진구,2662,21.8099173553719,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
구로구,1871,19.752538749331908,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
금천구,644,20.049689440993788,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
노원구,3616,19.387444690265486,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
도봉구,1322,21.077912254160363,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
동대문구,1849,21.895078420767984,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
동작구,1070,26.52429906542056,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
마포구,2616,25.154816513761467,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
서대문구,1166,24.542881646655232,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
서초구,1473,27.860828241683638,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
성동구,1780,26.37303370786517,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
성북구,1301,21.863182167563412,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
송파구,4637,21.883329739055423,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
양천구,3324,18.489169675090253,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
영등포구,3602,22.153803442531927,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
용산구,1165,27.28755364806867,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
은평구,1559,21.64913406029506,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
종로구,1659,19.54611211573237,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
중구,1013,20.43731490621915,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
중랑구,1538,19.074772431729517,2023-04-29,Saturday,False,True,15.6,10.0,13.7,89.3,2.098
