index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,3717,14737292.19,120091,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
1,강동구,4946,12716820.51,119830,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
2,강북구,1675,4922607.42,40751,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
3,강서구,10439,22920122.85,191340,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
4,관악구,3196,10085366.68,79820,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
5,광진구,6074,18022985.58,159194,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
6,구로구,4049,13157814.74,100409,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
7,금천구,1270,4903887.82,36117,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
8,노원구,6880,17705241.75,150689,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
9,도봉구,2512,7250988.42,60737,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
10,동대문구,3831,11281832.22,96603,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
11,동작구,2533,8666093.9,73689,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
12,마포구,6549,23914001.33,212723,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
13,서대문구,2506,8625691.4,73108,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
14,서초구,3669,15627539.49,130773,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
15,성동구,4554,17173416.22,150049,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
16,성북구,2902,8683389.15,74134,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
17,송파구,11488,33048913.78,310137,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
18,양천구,6432,14983746.44,133723,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
19,영등포구,9098,31199490.82,274079,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
20,용산구,3124,12172357.89,102097,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
21,은평구,3004,8777978.24,72933,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
22,종로구,3422,8031700.95,79813,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
23,중구,2005,5258231.22,49222,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
24,중랑구,3248,8959527.42,73234,2023-04-30,Sunday,False,17.6,8.1,12.2,71.4,1.035
