STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,4191,28.38439513242663,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
강동구,6080,20.296217105263157,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
강북구,2103,23.060865430337614,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
강서구,14959,16.928872250818905,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
관악구,3827,23.164358505356677,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
광진구,6891,21.941372805108113,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
구로구,5387,21.761277148691295,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
금천구,1897,22.45282024248814,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
노원구,8359,21.51632970451011,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
도봉구,3183,23.07759974866478,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
동대문구,4648,22.67814113597246,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
동작구,3004,26.10885486018642,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
마포구,7072,28.335690045248867,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
서대문구,2635,26.228462998102465,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
서초구,3854,29.41359626362221,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
성동구,4924,27.97156783103168,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
성북구,3176,22.229219143576827,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
송파구,11842,23.69439283904746,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
양천구,8419,19.399691174723838,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
영등포구,10675,24.999063231850116,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
용산구,2758,28.726976069615663,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
은평구,3751,22.633964276193016,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
종로구,4039,21.228026739291902,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
중구,2480,24.247177419354838,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
중랑구,4149,19.31115931549771,2023-08-19,Saturday,False,True,33.1,26.5,31.9,68.3,0.0
