STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,3017,27.52767649983427,2024-08-25,Sunday,False,True
강동구,4372,21.120768526989934,2024-08-25,Sunday,False,True
강북구,1575,22.351111111111113,2024-08-25,Sunday,False,True
강서구,11589,17.356890154456813,2024-08-25,Sunday,False,True
관악구,2448,24.14501633986928,2024-08-25,Sunday,False,True
광진구,4415,22.695583238958097,2024-08-25,Sunday,False,True
구로구,4279,21.881514372516943,2024-08-25,Sunday,False,True
금천구,1356,24.307522123893804,2024-08-25,Sunday,False,True
노원구,6882,21.143417611159546,2024-08-25,Sunday,False,True
도봉구,2607,23.683160721135405,2024-08-25,Sunday,False,True
동대문구,3273,23.426825542315918,2024-08-25,Sunday,False,True
동작구,1985,28.31183879093199,2024-08-25,Sunday,False,True
마포구,5402,30.427434283598668,2024-08-25,Sunday,False,True
서대문구,2108,28.86717267552182,2024-08-25,Sunday,False,True
서초구,3022,29.19027134348114,2024-08-25,Sunday,False,True
성동구,3553,27.37573881227132,2024-08-25,Sunday,False,True
성북구,2450,22.73795918367347,2024-08-25,Sunday,False,True
송파구,8748,23.569844535893917,2024-08-25,Sunday,False,True
양천구,7407,19.858107195895773,2024-08-25,Sunday,False,True
영등포구,8807,24.386170091972296,2024-08-25,Sunday,False,True
용산구,2198,29.848043676069153,2024-08-25,Sunday,False,True
은평구,2853,24.059235892043464,2024-08-25,Sunday,False,True
종로구,2796,21.4170243204578,2024-08-25,Sunday,False,True
중구,1852,21.882289416846653,2024-08-25,Sunday,False,True
중랑구,2729,19.96225723708318,2024-08-25,Sunday,False,True
