index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,2140,5062221.63,43661,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
1,강동구,3453,5895597.38,58507,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
2,강북구,985,1969937.15,18121,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
3,강서구,10186,14522554.57,126930,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
4,관악구,1793,3487178.31,31144,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
5,광진구,3357,5868777.17,57641,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
6,구로구,3119,6490982.34,54181,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
7,금천구,1527,2918920.96,22338,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
8,노원구,4353,8256055.22,73502,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
9,도봉구,1470,2953463.79,27136,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
10,동대문구,2768,5405207.73,50562,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
11,동작구,1447,2865078.13,23920,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
12,마포구,3533,7128209.04,65622,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
13,서대문구,1532,3264334.61,26698,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
14,서초구,2254,4831167.12,44120,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
15,성동구,2880,6042037.33,53313,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
16,성북구,1912,3708675.41,32923,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
17,송파구,7266,12928908.16,127645,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
18,양천구,4889,8189712.88,76480,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
19,영등포구,6500,12022081.27,111254,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
20,용산구,1263,2948425.57,23080,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
21,은평구,1896,3511296.85,31442,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
22,종로구,2948,5316194.18,55142,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
23,중구,2029,3983974.25,39442,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
24,중랑구,2192,3891078.04,33409,2022-12-05,Monday,False,1.7,-6.8,-6.0,40.5,0.0
