STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,3304,27.103813559322035,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
강동구,4491,20.715430861723448,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
강북구,1707,22.151728178090217,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
강서구,11506,15.895185120806536,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
관악구,2713,21.638039071138962,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
광진구,5191,20.589096513195916,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
구로구,3879,20.130188192833206,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
금천구,1325,20.175849056603774,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
노원구,7102,19.576175725147845,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
도봉구,2542,20.871361132966168,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
동대문구,3750,22.0848,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
동작구,2104,24.1425855513308,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
마포구,5149,25.66090503010293,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
서대문구,1990,23.110050251256283,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
서초구,3018,25.7713717693837,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
성동구,3939,26.071591774562073,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
성북구,2767,20.637513552584025,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
송파구,9721,21.497788293385454,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
양천구,6550,18.295877862595418,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
영등포구,8187,22.342860632710394,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
용산구,2346,25.19820971867008,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
은평구,2787,20.88876928597058,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
종로구,3282,20.19134673979281,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
중구,2289,22.85583224115334,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
중랑구,3265,19.309035222052067,2023-12-09,Saturday,False,True,16.1,12.3,13.8,82.2,0.0
