index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,3756,9948796.74,82050,2023-12-13,10.2,2.6,5.3,75.0
1,강동구,4865,9121802.98,89027,2023-12-13,10.2,2.6,5.3,75.0
2,강북구,1628,3442103.55,32696,2023-12-13,10.2,2.6,5.3,75.0
3,강서구,15956,24385285.82,214992,2023-12-13,10.2,2.6,5.3,75.0
4,관악구,2616,5708177.76,51011,2023-12-13,10.2,2.6,5.3,75.0
5,광진구,5741,10580057.42,100765,2023-12-13,10.2,2.6,5.3,75.0
6,구로구,5109,10932444.71,88476,2023-12-13,10.2,2.6,5.3,75.0
7,금천구,2381,4915564.4,37045,2023-12-13,10.2,2.6,5.3,75.0
8,노원구,7586,14870515.64,134002,2023-12-13,10.2,2.6,5.3,75.0
9,도봉구,2609,5662456.78,48567,2023-12-13,10.2,2.6,5.3,75.0
10,동대문구,4156,8872387.0,80750,2023-12-13,10.2,2.6,5.3,75.0
11,동작구,2345,5344225.31,45704,2023-12-13,10.2,2.6,5.3,75.0
12,마포구,5576,13013094.35,114996,2023-12-13,10.2,2.6,5.3,75.0
13,서대문구,2298,5685347.62,44832,2023-12-13,10.2,2.6,5.3,75.0
14,서초구,3452,8295629.36,71708,2023-12-13,10.2,2.6,5.3,75.0
15,성동구,4857,11328147.93,100005,2023-12-13,10.2,2.6,5.3,75.0
16,성북구,3033,6205705.11,53713,2023-12-13,10.2,2.6,5.3,75.0
17,송파구,10357,20515290.18,196149,2023-12-13,10.2,2.6,5.3,75.0
18,양천구,7110,13155841.43,121075,2023-12-13,10.2,2.6,5.3,75.0
19,영등포구,10389,20581268.81,192141,2023-12-13,10.2,2.6,5.3,75.0
20,용산구,2204,5455572.39,44941,2023-12-13,10.2,2.6,5.3,75.0
21,은평구,2899,5756519.89,50871,2023-12-13,10.2,2.6,5.3,75.0
22,종로구,4364,8265372.47,81730,2023-12-13,10.2,2.6,5.3,75.0
23,중구,3386,7171654.01,72029,2023-12-13,10.2,2.6,5.3,75.0
24,중랑구,3425,6569936.83,56515,2023-12-13,10.2,2.6,5.3,75.0
