STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,2919,20.718396711202466,2024-12-04,Wednesday,False,False
강동구,4105,17.12570036540804,2024-12-04,Wednesday,False,False
강북구,1219,20.109926168990977,2024-12-04,Wednesday,False,False
강서구,13764,12.681197326358618,2024-12-04,Wednesday,False,False
관악구,1895,18.622163588390503,2024-12-04,Wednesday,False,False
광진구,4594,16.745319982585983,2024-12-04,Wednesday,False,False
구로구,4327,16.534781603882596,2024-12-04,Wednesday,False,False
금천구,1988,14.61066398390342,2024-12-04,Wednesday,False,False
노원구,5960,16.683557046979868,2024-12-04,Wednesday,False,False
도봉구,2015,17.123573200992556,2024-12-04,Wednesday,False,False
동대문구,3235,18.345595054095828,2024-12-04,Wednesday,False,False
동작구,1529,20.223021582733814,2024-12-04,Wednesday,False,False
마포구,3969,19.223481985386748,2024-12-04,Wednesday,False,False
서대문구,1723,20.393499709808474,2024-12-04,Wednesday,False,False
서초구,2465,19.795131845841784,2024-12-04,Wednesday,False,False
성동구,3681,18.820157565878837,2024-12-04,Wednesday,False,False
성북구,2064,17.061531007751938,2024-12-04,Wednesday,False,False
송파구,8114,17.500492975104756,2024-12-04,Wednesday,False,False
양천구,6251,16.137897936330187,2024-12-04,Wednesday,False,False
영등포구,9458,18.297631634595053,2024-12-04,Wednesday,False,False
용산구,1520,20.326315789473686,2024-12-04,Wednesday,False,False
은평구,2087,17.770963104935316,2024-12-04,Wednesday,False,False
종로구,3387,19.545320342485976,2024-12-04,Wednesday,False,False
중구,2517,20.68891537544696,2024-12-04,Wednesday,False,False
중랑구,2589,16.00617999227501,2024-12-04,Wednesday,False,False
