index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,1428,2952789.98,35833,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
1,강동구,2016,2989817.12,36818,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
2,강북구,745,1279427.36,15155,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
3,강서구,5264,6738423.18,76536,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
4,관악구,1414,2544687.98,27616,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
5,광진구,2259,3181014.06,39150,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
6,구로구,1831,3499724.04,35846,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
7,금천구,917,1428963.62,16670,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
8,노원구,2607,4161928.61,49134,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
9,도봉구,863,1534297.77,17441,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
10,동대문구,1773,2761459.71,30036,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
11,동작구,849,1714695.38,18017,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
12,마포구,2311,4040144.17,50473,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
13,서대문구,1031,2090384.66,21390,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
14,서초구,1532,3194240.41,34604,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
15,성동구,1755,3431922.17,36202,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
16,성북구,1090,1940603.92,22214,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
17,송파구,4154,6511482.29,80541,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
18,양천구,2705,3887317.88,49327,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
19,영등포구,3735,6059832.28,74505,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
20,용산구,842,1726216.28,19769,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
21,은평구,1259,2088982.38,23371,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
22,종로구,1944,2807221.81,38439,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
23,중구,1202,1918092.65,24300,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
24,중랑구,1311,2030201.6199999999,24217,2022-02-03,Thursday,False,0.2,-6.9,-6.5,52.8,0.0
