index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,1960,4821452.72,52094,2022-02-09,7.1,-4.3,-1.0,54.0
1,강동구,2664,4190391.39,52418,2022-02-09,7.1,-4.3,-1.0,54.0
2,강북구,985,1908255.44,22400,2022-02-09,7.1,-4.3,-1.0,54.0
3,강서구,6981,9084330.4,105567,2022-02-09,7.1,-4.3,-1.0,54.0
4,관악구,1869,3752354.97,38625,2022-02-09,7.1,-4.3,-1.0,54.0
5,광진구,2991,5116837.33,59607,2022-02-09,7.1,-4.3,-1.0,54.0
6,구로구,2389,4568202.01,47025,2022-02-09,7.1,-4.3,-1.0,54.0
7,금천구,1210,2543967.7,24053,2022-02-09,7.1,-4.3,-1.0,54.0
8,노원구,3367,5738400.01,65453,2022-02-09,7.1,-4.3,-1.0,54.0
9,도봉구,1209,2559860.12,27986,2022-02-09,7.1,-4.3,-1.0,54.0
10,동대문구,2295,3718838.37,44840,2022-02-09,7.1,-4.3,-1.0,54.0
11,동작구,1120,2590494.24,27354,2022-02-09,7.1,-4.3,-1.0,54.0
12,마포구,3196,6563169.37,79324,2022-02-09,7.1,-4.3,-1.0,54.0
13,서대문구,1452,3074404.2,30933,2022-02-09,7.1,-4.3,-1.0,54.0
14,서초구,2013,4117379.53,48638,2022-02-09,7.1,-4.3,-1.0,54.0
15,성동구,2376,4970186.99,54882,2022-02-09,7.1,-4.3,-1.0,54.0
16,성북구,1529,2877002.48,31964,2022-02-09,7.1,-4.3,-1.0,54.0
17,송파구,5491,9580458.56,109363,2022-02-09,7.1,-4.3,-1.0,54.0
18,양천구,3599,5783261.92,67562,2022-02-09,7.1,-4.3,-1.0,54.0
19,영등포구,5189,9475115.14,108768,2022-02-09,7.1,-4.3,-1.0,54.0
20,용산구,1160,2526473.3,26962,2022-02-09,7.1,-4.3,-1.0,54.0
21,은평구,1639,2765739.58,31586,2022-02-09,7.1,-4.3,-1.0,54.0
22,종로구,2665,3882980.88,51531,2022-02-09,7.1,-4.3,-1.0,54.0
23,중구,1784,3103007.87,39428,2022-02-09,7.1,-4.3,-1.0,54.0
24,중랑구,1757,3006764.13,31540,2022-02-09,7.1,-4.3,-1.0,54.0
