STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,2074,23.993249758919962,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
강동구,3012,18.070053120849934,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
강북구,1113,20.86972147349506,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
강서구,8314,14.537647341833052,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
관악구,1622,20.009864364981503,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
광진구,3321,19.818729298404094,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
구로구,2547,19.930113859442482,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
금천구,1158,18.698618307426596,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
노원구,4285,18.18739789964994,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
도봉구,1503,19.28476380572189,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
동대문구,2476,20.907915993537966,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
동작구,1228,23.322475570032573,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
마포구,3260,23.81840490797546,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
서대문구,1371,21.594456601021154,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
서초구,2157,24.26054705609643,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
성동구,2752,22.293968023255815,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
성북구,1542,20.037613488975357,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
송파구,6502,20.231774838511228,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
양천구,4109,17.77561450474568,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
영등포구,5310,20.47382297551789,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
용산구,1167,23.281062553556126,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
은평구,1697,19.40895698291102,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
종로구,2610,20.86513409961686,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
중구,1838,21.509249183895538,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
중랑구,1877,18.7101758124667,2023-02-10,Friday,False,False,6.1,2.0,2.2,78.7,0.113
