STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,3238,23.176034589252627,2024-02-26,Monday,False,False
강동구,4006,18.952321517723416,2024-02-26,Monday,False,False
강북구,1314,21.419330289193304,2024-02-26,Monday,False,False
강서구,12553,14.015932446427149,2024-02-26,Monday,False,False
관악구,2040,21.11470588235294,2024-02-26,Monday,False,False
광진구,4441,18.951812654807476,2024-02-26,Monday,False,False
구로구,3966,18.845940494200708,2024-02-26,Monday,False,False
금천구,1911,18.495028780743066,2024-02-26,Monday,False,False
노원구,5722,18.771583362460678,2024-02-26,Monday,False,False
도봉구,2076,19.339595375722542,2024-02-26,Monday,False,False
동대문구,3280,20.403963414634145,2024-02-26,Monday,False,False
동작구,1699,22.05532666274279,2024-02-26,Monday,False,False
마포구,4563,23.35371466140697,2024-02-26,Monday,False,False
서대문구,1857,22.43564889606893,2024-02-26,Monday,False,False
서초구,2882,24.45558639833449,2024-02-26,Monday,False,False
성동구,3984,22.039909638554217,2024-02-26,Monday,False,False
성북구,2109,19.96728307254623,2024-02-26,Monday,False,False
송파구,8726,20.32397432958973,2024-02-26,Monday,False,False
양천구,5602,17.70207068903963,2024-02-26,Monday,False,False
영등포구,8730,20.08602520045819,2024-02-26,Monday,False,False
용산구,1890,23.307407407407407,2024-02-26,Monday,False,False
은평구,2204,19.716878402903813,2024-02-26,Monday,False,False
종로구,3760,20.00398936170213,2024-02-26,Monday,False,False
중구,2737,22.073072707343808,2024-02-26,Monday,False,False
중랑구,2737,18.190719766167337,2024-02-26,Monday,False,False
