STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,1024,22.7470703125,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
강동구,1548,17.040697674418606,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
강북구,492,18.50609756097561,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
강서구,4451,12.587059087845429,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
관악구,1020,17.045098039215688,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
광진구,1845,15.866666666666667,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
구로구,1372,17.309037900874635,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
금천구,787,15.36848792884371,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
노원구,1958,17.142492339121553,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
도봉구,632,17.718354430379748,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
동대문구,1528,18.147905759162303,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
동작구,574,17.285714285714285,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
마포구,1740,20.75574712643678,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
서대문구,868,18.31566820276498,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
서초구,1048,21.166984732824428,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
성동구,1399,18.348105789849892,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
성북구,925,17.337297297297297,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
송파구,3339,17.261755016471998,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
양천구,1998,16.59109109109109,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
영등포구,2892,17.301521438450898,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
용산구,511,19.15655577299413,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
은평구,942,16.554140127388536,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
종로구,1700,18.87764705882353,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
중구,1013,19.63573543928924,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
중랑구,995,15.99396984924623,2022-01-17,Monday,False,False,-0.2,-9.2,-8.7,58.2,9.461
