STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,1453,17.97109428768066,2024-01-22,Monday,False,False
강동구,1960,16.737755102040815,2024-01-22,Monday,False,False
강북구,604,19.48841059602649,2024-01-22,Monday,False,False
강서구,7492,11.51281366791244,2024-01-22,Monday,False,False
관악구,978,16.620654396728018,2024-01-22,Monday,False,False
광진구,2325,15.494623655913978,2024-01-22,Monday,False,False
구로구,1924,14.567047817047817,2024-01-22,Monday,False,False
금천구,970,13.557731958762886,2024-01-22,Monday,False,False
노원구,2637,16.58058399696625,2024-01-22,Monday,False,False
도봉구,892,16.254484304932735,2024-01-22,Monday,False,False
동대문구,1490,17.36778523489933,2024-01-22,Monday,False,False
동작구,767,17.08083441981747,2024-01-22,Monday,False,False
마포구,1983,17.469490670700957,2024-01-22,Monday,False,False
서대문구,795,16.950943396226414,2024-01-22,Monday,False,False
서초구,1306,18.27718223583461,2024-01-22,Monday,False,False
성동구,1914,16.933646812957157,2024-01-22,Monday,False,False
성북구,1013,16.605133267522213,2024-01-22,Monday,False,False
송파구,4327,17.544256990986828,2024-01-22,Monday,False,False
양천구,2974,15.142232683254875,2024-01-22,Monday,False,False
영등포구,4433,15.55741033160388,2024-01-22,Monday,False,False
용산구,728,17.043956043956044,2024-01-22,Monday,False,False
은평구,1015,17.666995073891627,2024-01-22,Monday,False,False
종로구,1648,17.145631067961165,2024-01-22,Monday,False,False
중구,1219,19.867104183757178,2024-01-22,Monday,False,False
중랑구,1294,13.901854714064916,2024-01-22,Monday,False,False
