index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,4817,16955304.6,135909,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
1,강동구,7495,16062578.22,150332,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
2,강북구,2432,6368466.72,54392,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
3,강서구,19663,37948281.99,313028,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
4,관악구,4536,12716994.8,106094,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
5,광진구,7361,18424612.86,158225,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
6,구로구,6336,17021066.12,132117,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
7,금천구,2869,7968978.44,60114,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
8,노원구,9589,22949448.65,189118,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
9,도봉구,3353,9144277.93,72458,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
10,동대문구,5924,15372427.59,129449,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
11,동작구,3635,10979979.49,87861,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
12,마포구,8564,26182805.19,226293,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
13,서대문구,3484,11207084.79,87631,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
14,서초구,5266,18643843.75,148808,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
15,성동구,6205,20007766.97,161550,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
16,성북구,3995,10709442.57,85847,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
17,송파구,16015,39384230.01,347793,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
18,양천구,9972,20781019.42,185694,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
19,영등포구,13583,36715714.6,317640,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
20,용산구,3546,11945160.459999999,93822,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
21,은평구,4348,10580238.47,88533,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
22,종로구,5648,12876772.87,124055,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
23,중구,3907,9802373.29,89362,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
24,중랑구,4600,10965585.52,91659,2022-07-15,Friday,False,30.1,23.0,27.0,76.4,0.0
