STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,4572,23.87445319335083,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
강동구,6976,19.800315366972477,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
강북구,2153,21.11611704598235,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
강서구,20313,14.1588637818146,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
관악구,4005,20.020224719101122,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
광진구,7431,18.77015206567084,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
구로구,6725,18.19092936802974,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
금천구,3216,16.48600746268657,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
노원구,8946,18.640845070422536,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
도봉구,3229,20.211210901207803,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
동대문구,5305,20.01281809613572,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
동작구,3253,22.02397786658469,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
마포구,8567,23.942453601027196,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
서대문구,3209,22.83203490183858,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
서초구,4473,23.89023027051196,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
성동구,6048,22.704695767195766,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
성북구,3512,19.885535307517085,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
송파구,13368,19.83916816277678,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
양천구,9586,17.002607969956188,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
영등포구,13473,21.117123135159208,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
용산구,3046,24.227511490479316,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
은평구,3947,19.570559918925767,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
종로구,5931,19.417298937784523,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
중구,4391,21.95809610567069,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
중랑구,4218,18.20507349454718,2023-07-27,Thursday,False,False,32.2,24.5,31.5,78.3,0.0
