STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,4599,30.56033920417482,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
강동구,7605,22.067061143984223,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
강북구,2700,23.79740740740741,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
강서구,17781,17.962544288847646,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
관악구,4732,24.5678360101437,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
광진구,8448,24.07717803030303,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
구로구,6290,23.62543720190779,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
금천구,2327,22.991834980661796,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
노원구,10466,20.523122491878464,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
도봉구,3927,22.925642984466513,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
동대문구,5608,22.912268188302424,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
동작구,3659,28.27985788466794,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
마포구,9062,31.998896490840874,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
서대문구,3415,29.004099560761347,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
서초구,4936,33.09015397082658,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
성동구,6023,30.789805744645527,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
성북구,4009,22.50661012721377,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
송파구,15634,24.402520148394526,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
양천구,9914,20.792112164615695,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
영등포구,12749,27.209192877872773,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
용산구,4069,32.22413369378226,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
은평구,4587,22.73817309788533,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
종로구,4475,22.081564245810057,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
중구,2945,23.961969439728353,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
중랑구,4919,21.014433828013825,2023-06-17,Saturday,False,True,30.0,19.0,24.1,56.9,0.0
