index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,2699,8671743.87,72616,2022-03-10,15.2,4.0,8.6,52.1
1,강동구,3654,7401016.77,76264,2022-03-10,15.2,4.0,8.6,52.1
2,강북구,1299,3387740.37,29261,2022-03-10,15.2,4.0,8.6,52.1
3,강서구,8934,15731991.11,143054,2022-03-10,15.2,4.0,8.6,52.1
4,관악구,2341,6631841.07,55307,2022-03-10,15.2,4.0,8.6,52.1
5,광진구,4246,10022343.52,91632,2022-03-10,15.2,4.0,8.6,52.1
6,구로구,3118,8511023.45,68863,2022-03-10,15.2,4.0,8.6,52.1
7,금천구,1486,4013379.91,29595,2022-03-10,15.2,4.0,8.6,52.1
8,노원구,4890,11449165.63,99592,2022-03-10,15.2,4.0,8.6,52.1
9,도봉구,1729,4716296.25,39960,2022-03-10,15.2,4.0,8.6,52.1
10,동대문구,3330,8400729.22,74069,2022-03-10,15.2,4.0,8.6,52.1
11,동작구,1702,5088530.26,44789,2022-03-10,15.2,4.0,8.6,52.1
12,마포구,4646,13468120.4,118907,2022-03-10,15.2,4.0,8.6,52.1
13,서대문구,2041,5579702.39,47460,2022-03-10,15.2,4.0,8.6,52.1
14,서초구,2585,8217686.51,68329,2022-03-10,15.2,4.0,8.6,52.1
15,성동구,3589,10998419.63,92745,2022-03-10,15.2,4.0,8.6,52.1
16,성북구,2365,6329074.44,53490,2022-03-10,15.2,4.0,8.6,52.1
17,송파구,7779,18032024.36,166246,2022-03-10,15.2,4.0,8.6,52.1
18,양천구,4562,9496214.18,89291,2022-03-10,15.2,4.0,8.6,52.1
19,영등포구,7105,19073493.06,169825,2022-03-10,15.2,4.0,8.6,52.1
20,용산구,1865,6157932.35,51949,2022-03-10,15.2,4.0,8.6,52.1
21,은평구,2176,5155789.89,46029,2022-03-10,15.2,4.0,8.6,52.1
22,종로구,3543,6969537.63,69200,2022-03-10,15.2,4.0,8.6,52.1
23,중구,2332,5682723.75,51224,2022-03-10,15.2,4.0,8.6,52.1
24,중랑구,2412,5704164.03,49234,2022-03-10,15.2,4.0,8.6,52.1
