STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,2890,22.865051903114185,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
강동구,4323,18.022900763358777,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
강북구,1545,19.880906148867314,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
강서구,12174,13.742812551338918,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
관악구,2365,18.0384778012685,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
광진구,5307,17.553796872055777,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
구로구,4178,17.79511728099569,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
금천구,1956,16.986196319018404,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
노원구,6151,17.69598439278166,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
도봉구,2095,19.600954653937947,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
동대문구,3830,19.95195822454308,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
동작구,1996,19.949899799599198,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
마포구,4892,21.0204415372036,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
서대문구,2259,20.286409915891987,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
서초구,2750,21.31418181818182,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
성동구,4191,21.106418515867336,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
성북구,2709,18.68955334071613,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
송파구,9610,18.257648283038503,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
양천구,6004,16.145902731512326,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
영등포구,8481,19.095743426482727,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
용산구,1784,21.010089686098656,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
은평구,2681,17.424095486758674,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
종로구,3975,18.94440251572327,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
중구,2697,19.8568780126066,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
중랑구,2926,17.1555023923445,2023-03-13,Monday,False,False,7.0,-1.6,-0.4,37.1,0.0
