STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,4084,32.14177277179236,2025-03-22,Saturday,False,True
강동구,5226,25.18809797168006,2025-03-22,Saturday,False,True
강북구,1488,23.998655913978496,2025-03-22,Saturday,False,True
강서구,12121,18.141324973187032,2025-03-22,Saturday,False,True
관악구,2457,28.964590964590965,2025-03-22,Saturday,False,True
광진구,6403,26.243479618928628,2025-03-22,Saturday,False,True
구로구,4242,25.913248467703912,2025-03-22,Saturday,False,True
금천구,1449,27.47342995169082,2025-03-22,Saturday,False,True
노원구,6668,22.961607678464308,2025-03-22,Saturday,False,True
도봉구,2254,25.226708074534162,2025-03-22,Saturday,False,True
동대문구,3564,25.569584736251404,2025-03-22,Saturday,False,True
동작구,2346,33.708013640238704,2025-03-22,Saturday,False,True
마포구,6747,35.525122276567366,2025-03-22,Saturday,False,True
서대문구,2432,29.070723684210527,2025-03-22,Saturday,False,True
서초구,3748,36.155016008537885,2025-03-22,Saturday,False,True
성동구,4828,32.94614747307374,2025-03-22,Saturday,False,True
성북구,2317,26.185584807941304,2025-03-22,Saturday,False,True
송파구,11505,27.185571490656237,2025-03-22,Saturday,False,True
양천구,7088,21.228132054176072,2025-03-22,Saturday,False,True
영등포구,9995,29.031715857928965,2025-03-22,Saturday,False,True
용산구,3207,33.81571562207671,2025-03-22,Saturday,False,True
은평구,2645,27.03289224952741,2025-03-22,Saturday,False,True
종로구,3077,24.702632434189145,2025-03-22,Saturday,False,True
중구,2037,26.08149239077074,2025-03-22,Saturday,False,True
중랑구,3157,23.183401963889768,2025-03-22,Saturday,False,True
