index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,5153,19769027.75,151269,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
1,강동구,7302,16277228.16,146720,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
2,강북구,2529,6492030.15,57240,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
3,강서구,19411,38236220.81,317746,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
4,관악구,4718,13904983.06,114613,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
5,광진구,7908,19811097.34,167903,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
6,구로구,6730,19428908.47,148815,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
7,금천구,3176,9557706.33,67865,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
8,노원구,10403,25321059.65,207746,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
9,도봉구,3489,9097242.33,70077,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
10,동대문구,6368,16860229.67,137799,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
11,동작구,3564,11612741.58,88931,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
12,마포구,9327,29332523.99,238847,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
13,서대문구,3551,11364199.69,84397,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
14,서초구,5216,18956104.27,144794,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
15,성동구,6948,22492988.8,179714,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
16,성북구,4636,12387711.69,103137,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
17,송파구,16173,40411071.1,346412,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
18,양천구,9332,20521821.95,177716,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
19,영등포구,13460,39424285.98,323052,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
20,용산구,3476,12508127.7,95403,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
21,은평구,4368,10978029.97,90562,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
22,종로구,6460,15160200.07,138797,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
23,중구,4063,10831850.0,94401,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
24,중랑구,4905,12074339.06,100141,2022-05-26,Thursday,False,23.0,14.1,18.7,60.3,0.022
