STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,5654,25.04899186416696,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
강동구,7544,19.932396606574763,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
강북구,2421,20.901693515076413,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
강서구,20660,15.121200387221684,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
관악구,4095,20.39096459096459,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
광진구,8896,20.1048785971223,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
구로구,7002,18.707512139388747,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
금천구,3236,18.42459826946848,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
노원구,11007,18.149268647224492,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
도봉구,3663,20.651105651105652,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
동대문구,6552,20.659035409035408,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
동작구,3471,22.861999423797176,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
마포구,8697,23.573531102679084,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
서대문구,3596,21.625417130144605,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
서초구,5176,24.332689335394125,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
성동구,6906,23.987981465392412,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
성북구,4720,20.572245762711866,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
송파구,16157,20.45608714489076,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
양천구,9606,18.541848844472206,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
영등포구,14173,21.493120722500528,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
용산구,3576,24.454977628635348,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
은평구,4268,19.559981255857544,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
종로구,6974,20.28921709205621,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
중구,4852,22.487427864798022,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
중랑구,5044,18.445678033306898,2023-05-04,Thursday,False,False,25.6,15.6,21.1,66.4,0.0
