index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,6360,22391814.39,175364,2023-05-19,27.4,16.1,22.1,62.5
1,강동구,8519,19074285.02,172501,2023-05-19,27.4,16.1,22.1,62.5
2,강북구,2807,7098222.25,61695,2023-05-19,27.4,16.1,22.1,62.5
3,강서구,23143,43625380.4,367253,2023-05-19,27.4,16.1,22.1,62.5
4,관악구,4916,13760879.69,109643,2023-05-19,27.4,16.1,22.1,62.5
5,광진구,9375,24423832.56,211149,2023-05-19,27.4,16.1,22.1,62.5
6,구로구,8215,22278366.08,166267,2023-05-19,27.4,16.1,22.1,62.5
7,금천구,3621,9751652.51,70172,2023-05-19,27.4,16.1,22.1,62.5
8,노원구,12154,27975510.99,233961,2023-05-19,27.4,16.1,22.1,62.5
9,도봉구,4242,10433338.02,87601,2023-05-19,27.4,16.1,22.1,62.5
10,동대문구,7119,18985342.4,159124,2023-05-19,27.4,16.1,22.1,62.5
11,동작구,4130,13047327.71,102232,2023-05-19,27.4,16.1,22.1,62.5
12,마포구,9968,32103671.84,275651,2023-05-19,27.4,16.1,22.1,62.5
13,서대문구,3731,11728901.74,91024,2023-05-19,27.4,16.1,22.1,62.5
14,서초구,6196,22082430.37,175733,2023-05-19,27.4,16.1,22.1,62.5
15,성동구,8001,25275933.16,205312,2023-05-19,27.4,16.1,22.1,62.5
16,성북구,4790,12655309.35,101782,2023-05-19,27.4,16.1,22.1,62.5
17,송파구,18503,45901119.54,400464,2023-05-19,27.4,16.1,22.1,62.5
18,양천구,11061,23378995.37,205203,2023-05-19,27.4,16.1,22.1,62.5
19,영등포구,16260,45859343.85,390513,2023-05-19,27.4,16.1,22.1,62.5
20,용산구,4317,15674483.14,119416,2023-05-19,27.4,16.1,22.1,62.5
21,은평구,4796,11885854.21,99434,2023-05-19,27.4,16.1,22.1,62.5
22,종로구,6823,15632813.83,146990,2023-05-19,27.4,16.1,22.1,62.5
23,중구,4831,12342606.92,113274,2023-05-19,27.4,16.1,22.1,62.5
24,중랑구,6171,15027959.06,126268,2023-05-19,27.4,16.1,22.1,62.5
