STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,5496,24.69250363901019,2025-05-21,Wednesday,False,False
강동구,7685,19.058165256994144,2025-05-21,Wednesday,False,False
강북구,1925,21.794285714285714,2025-05-21,Wednesday,False,False
강서구,19321,15.161275296309714,2025-05-21,Wednesday,False,False
관악구,3065,21.63915171288744,2025-05-21,Wednesday,False,False
광진구,7246,20.943969086392492,2025-05-21,Wednesday,False,False
구로구,6475,19.24123552123552,2025-05-21,Wednesday,False,False
금천구,2740,18.867883211678834,2025-05-21,Wednesday,False,False
노원구,9665,19.35168132436627,2025-05-21,Wednesday,False,False
도봉구,3205,20.067394695787833,2025-05-21,Wednesday,False,False
동대문구,5228,21.598125478194337,2025-05-21,Wednesday,False,False
동작구,2678,24.372666168782672,2025-05-21,Wednesday,False,False
마포구,7414,24.450499055840304,2025-05-21,Wednesday,False,False
서대문구,2908,22.541953232462173,2025-05-21,Wednesday,False,False
서초구,4761,23.540222642302037,2025-05-21,Wednesday,False,False
성동구,6031,24.36561100978279,2025-05-21,Wednesday,False,False
성북구,3187,21.59742704737998,2025-05-21,Wednesday,False,False
송파구,15187,20.08276815697636,2025-05-21,Wednesday,False,False
양천구,8983,18.2901035288879,2025-05-21,Wednesday,False,False
영등포구,14093,20.766125026608954,2025-05-21,Wednesday,False,False
용산구,3040,25.491118421052633,2025-05-21,Wednesday,False,False
은평구,3474,20.00230282095567,2025-05-21,Wednesday,False,False
종로구,5326,21.42039053698836,2025-05-21,Wednesday,False,False
중구,4109,23.624239474324654,2025-05-21,Wednesday,False,False
중랑구,4252,19.71025399811853,2025-05-21,Wednesday,False,False
