STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,3040,29.847697368421052,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
강동구,4943,21.676714545822374,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
강북구,1724,24.466357308584687,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
강서구,10803,17.66509302971397,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
관악구,3262,22.77713059472716,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
광진구,5158,22.272780147343934,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
구로구,4029,23.520972946140482,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
금천구,1372,26.253644314868804,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
노원구,6468,21.320964749536177,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
도봉구,2261,22.10659000442282,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
동대문구,3577,24.379368185630415,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
동작구,2455,27.483503054989818,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
마포구,5963,30.710883783330537,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
서대문구,2274,25.917766051011434,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
서초구,3043,31.886296418008545,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
성동구,4063,30.18237755353187,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
성북구,2578,22.64934057408844,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
송파구,10917,24.16607126499954,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
양천구,6555,20.096872616323417,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
영등포구,8346,26.57895998082914,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
용산구,2506,27.85395051875499,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
은평구,2904,23.642561983471076,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
종로구,3537,21.86316087079446,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
중구,2099,23.555026202953787,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
중랑구,3085,21.61264181523501,2022-11-06,Sunday,False,True,16.5,3.8,8.8,60.4,0.0
