index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,2162,5190861.89,47528,2023-11-25,3.7,-5.7,-3.6,43.0
1,강동구,3187,5681255.09,57061,2023-11-25,3.7,-5.7,-3.6,43.0
2,강북구,1243,2625370.61,25114,2023-11-25,3.7,-5.7,-3.6,43.0
3,강서구,8378,12574263.32,116003,2023-11-25,3.7,-5.7,-3.6,43.0
4,관악구,1884,3711960.33,34798,2023-11-25,3.7,-5.7,-3.6,43.0
5,광진구,3459,6145088.75,58241,2023-11-25,3.7,-5.7,-3.6,43.0
6,구로구,2749,5204033.44,45074,2023-11-25,3.7,-5.7,-3.6,43.0
7,금천구,983,1880201.33,17136,2023-11-25,3.7,-5.7,-3.6,43.0
8,노원구,4869,9070993.88,80875,2023-11-25,3.7,-5.7,-3.6,43.0
9,도봉구,1680,3626606.53,30567,2023-11-25,3.7,-5.7,-3.6,43.0
10,동대문구,2547,5154423.87,48772,2023-11-25,3.7,-5.7,-3.6,43.0
11,동작구,1461,3440178.9,30994,2023-11-25,3.7,-5.7,-3.6,43.0
12,마포구,3034,6927491.05,67343,2023-11-25,3.7,-5.7,-3.6,43.0
13,서대문구,1369,3236551.66,27550,2023-11-25,3.7,-5.7,-3.6,43.0
14,서초구,1935,4321111.43,40427,2023-11-25,3.7,-5.7,-3.6,43.0
15,성동구,2287,5113819.78,48067,2023-11-25,3.7,-5.7,-3.6,43.0
16,성북구,1872,3731571.6,35092,2023-11-25,3.7,-5.7,-3.6,43.0
17,송파구,6137,11648852.37,117738,2023-11-25,3.7,-5.7,-3.6,43.0
18,양천구,4590,7832688.62,77588,2023-11-25,3.7,-5.7,-3.6,43.0
19,영등포구,5502,9863581.22,100538,2023-11-25,3.7,-5.7,-3.6,43.0
20,용산구,1341,3201983.58,29207,2023-11-25,3.7,-5.7,-3.6,43.0
21,은평구,2036,3966267.32,35471,2023-11-25,3.7,-5.7,-3.6,43.0
22,종로구,2161,3801011.89,37983,2023-11-25,3.7,-5.7,-3.6,43.0
23,중구,1344,2757887.56,29359,2023-11-25,3.7,-5.7,-3.6,43.0
24,중랑구,2344,4281930.34,38565,2023-11-25,3.7,-5.7,-3.6,43.0
