index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,tempmax,tempmin,feelslike,humidity
0,강남구,3751,14794589.17,122431,2022-10-16,20.1,15.1,17.0,73.5
1,강동구,6411,15145677.15,145401,2022-10-16,20.1,15.1,17.0,73.5
2,강북구,2154,6114110.97,51863,2022-10-16,20.1,15.1,17.0,73.5
3,강서구,13605,29534535.27,255961,2022-10-16,20.1,15.1,17.0,73.5
4,관악구,3896,12139881.81,98085,2022-10-16,20.1,15.1,17.0,73.5
5,광진구,6753,19427294.27,170872,2022-10-16,20.1,15.1,17.0,73.5
6,구로구,5181,16468664.27,133195,2022-10-16,20.1,15.1,17.0,73.5
7,금천구,1852,5777548.34,47132,2022-10-16,20.1,15.1,17.0,73.5
8,노원구,7910,20821072.07,175243,2022-10-16,20.1,15.1,17.0,73.5
9,도봉구,2980,9034016.76,71097,2022-10-16,20.1,15.1,17.0,73.5
10,동대문구,4386,12788008.23,106055,2022-10-16,20.1,15.1,17.0,73.5
11,동작구,3169,10532324.49,88510,2022-10-16,20.1,15.1,17.0,73.5
12,마포구,7977,27114077.63,242175,2022-10-16,20.1,15.1,17.0,73.5
13,서대문구,2783,9412812.12,79128,2022-10-16,20.1,15.1,17.0,73.5
14,서초구,4169,16380536.24,144577,2022-10-16,20.1,15.1,17.0,73.5
15,성동구,5067,18867725.15,157101,2022-10-16,20.1,15.1,17.0,73.5
16,성북구,3418,9524917.06,81632,2022-10-16,20.1,15.1,17.0,73.5
17,송파구,13281,36036928.48,332883,2022-10-16,20.1,15.1,17.0,73.5
18,양천구,8006,18665621.97,172250,2022-10-16,20.1,15.1,17.0,73.5
19,영등포구,10661,33316694.78,300282,2022-10-16,20.1,15.1,17.0,73.5
20,용산구,3670,13490649.11,110752,2022-10-16,20.1,15.1,17.0,73.5
21,은평구,3625,10339470.05,86730,2022-10-16,20.1,15.1,17.0,73.5
22,종로구,3640,8682201.39,83475,2022-10-16,20.1,15.1,17.0,73.5
23,중구,2254,5898740.45,54922,2022-10-16,20.1,15.1,17.0,73.5
24,중랑구,4083,11233532.61,94130,2022-10-16,20.1,15.1,17.0,73.5
