STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,4170,30.472661870503597,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
강동구,5838,22.76533059266872,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
강북구,2035,22.896805896805898,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
강서구,13221,17.683609409273124,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
관악구,3807,24.425794588915156,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
광진구,6789,23.24834290764472,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
구로구,5105,23.987855044074436,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
금천구,1804,26.853658536585368,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
노원구,8357,20.992461409596746,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
도봉구,3094,24.185197155785392,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
동대문구,4475,23.2,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
동작구,3275,28.245190839694658,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
마포구,7805,30.690070467648944,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
서대문구,2687,26.09527353926312,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
서초구,4247,32.20296680009418,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
성동구,5156,31.25543056633049,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
성북구,3301,21.99939412299303,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
송파구,12763,25.67883726396615,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
양천구,7926,20.274160989149635,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
영등포구,10760,26.841914498141264,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
용산구,3567,30.389963554807963,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
은평구,3548,24.289177001127396,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
종로구,3838,21.658676393955187,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
중구,2481,23.9322853688029,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
중랑구,4016,22.177788844621514,2023-10-22,Sunday,False,True,18.1,5.7,11.7,64.5,0.0
