STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,4077,29.86215354427275,2024-10-20,Sunday,False,True
강동구,5402,22.71658644946316,2024-10-20,Sunday,False,True
강북구,1755,24.362962962962964,2024-10-20,Sunday,False,True
강서구,12602,17.515870496746548,2024-10-20,Sunday,False,True
관악구,2970,25.139057239057237,2024-10-20,Sunday,False,True
광진구,6025,23.47435684647303,2024-10-20,Sunday,False,True
구로구,4800,24.555416666666666,2024-10-20,Sunday,False,True
금천구,1636,26.948655256723715,2024-10-20,Sunday,False,True
노원구,7756,21.57284682826199,2024-10-20,Sunday,False,True
도봉구,2831,23.046979865771814,2024-10-20,Sunday,False,True
동대문구,3881,24.64570986859057,2024-10-20,Sunday,False,True
동작구,2361,30.629394324438795,2024-10-20,Sunday,False,True
마포구,8335,31.915416916616678,2024-10-20,Sunday,False,True
서대문구,2410,28.75767634854772,2024-10-20,Sunday,False,True
서초구,3590,32.73286908077994,2024-10-20,Sunday,False,True
성동구,4630,31.234341252699785,2024-10-20,Sunday,False,True
성북구,2443,24.361031518624642,2024-10-20,Sunday,False,True
송파구,11673,25.70179045660927,2024-10-20,Sunday,False,True
양천구,7869,20.664760452408185,2024-10-20,Sunday,False,True
영등포구,10636,26.614798796540054,2024-10-20,Sunday,False,True
용산구,2865,30.985340314136124,2024-10-20,Sunday,False,True
은평구,3136,25.894770408163264,2024-10-20,Sunday,False,True
종로구,2966,22.86783546864464,2024-10-20,Sunday,False,True
중구,2086,22.699904122722916,2024-10-20,Sunday,False,True
중랑구,3756,21.977635782747605,2024-10-20,Sunday,False,True
