STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,6686,25.960514507927012,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
강동구,7811,20.571885802073997,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
강북구,2668,23.262368815592204,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
강서구,23314,15.183151754310714,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
관악구,4569,21.40030641278179,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
광진구,9259,21.317852899881196,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
구로구,8275,20.07987915407855,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
금천구,3755,18.51744340878828,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
노원구,11056,19.494301736613604,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
도봉구,4123,20.760611205432937,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
동대문구,6752,21.211789099526065,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
동작구,4050,23.923703703703705,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
마포구,9988,25.318782539046857,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
서대문구,3947,24.069926526475804,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
서초구,6274,26.983104877271277,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
성동구,7492,25.447410571276027,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
성북구,4837,20.47674178209634,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
송파구,16649,21.718001081146014,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
양천구,11257,18.380119037043617,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
영등포구,16039,23.16983602468982,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
용산구,4258,27.33983090652889,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
은평구,4885,20.641555783009213,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
종로구,7446,20.130808487778673,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
중구,5302,22.714824594492644,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
중랑구,5535,18.570009033423666,2023-09-01,Friday,False,False,29.5,19.7,24.6,69.8,0.0
