index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,662,1567671.36,14731,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
1,강동구,1216,2030394.27,19188,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
2,강북구,312,647457.41,6360,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
3,강서구,3647,5141725.83,48543,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
4,관악구,684,1406139.88,14006,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
5,광진구,1360,2337022.28,23973,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
6,구로구,1266,2371843.66,20621,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
7,금천구,599,1251474.1,10012,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
8,노원구,1725,3054213.63,28868,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
9,도봉구,513,1017297.05,9740,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
10,동대문구,869,1646532.18,15957,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
11,동작구,463,992589.82,8521,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
12,마포구,1198,2623035.38,26585,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
13,서대문구,596,1294781.76,11123,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
14,서초구,578,1282984.89,11000,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
15,성동구,965,1917169.96,19658,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
16,성북구,578,1119826.54,9798,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
17,송파구,2252,4028613.02,39415,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
18,양천구,1904,3148128.38,28673,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
19,영등포구,2288,4040988.11,40912,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
20,용산구,474,1078097.98,10658,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
21,은평구,829,1369720.99,13022,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
22,종로구,826,1615850.58,18135,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
23,중구,546,1065670.06,13688,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
24,중랑구,788,1404778.88,11898,2023-09-26,Tuesday,False,20.7,18.7,19.9,94.8,29.968
