STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend
강남구,5974,25.6193505189153,2024-09-27,Friday,False,False
강동구,8022,20.32822238843181,2024-09-27,Friday,False,False
강북구,2357,22.43954179041154,2024-09-27,Friday,False,False
강서구,23756,15.287632598080485,2024-09-27,Friday,False,False
관악구,3887,22.29122716748135,2024-09-27,Friday,False,False
광진구,8748,21.57304526748971,2024-09-27,Friday,False,False
구로구,8437,19.97546521275335,2024-09-27,Friday,False,False
금천구,3678,18.090810222947255,2024-09-27,Friday,False,False
노원구,11170,18.95290957923008,2024-09-27,Friday,False,False
도봉구,3991,21.150087697318966,2024-09-27,Friday,False,False
동대문구,6506,21.541192745158316,2024-09-27,Friday,False,False
동작구,3496,25.24599542334096,2024-09-27,Friday,False,False
마포구,9267,27.08988885291896,2024-09-27,Friday,False,False
서대문구,3472,23.147465437788018,2024-09-27,Friday,False,False
서초구,6204,26.977595099935524,2024-09-27,Friday,False,False
성동구,7525,26.013820598006646,2024-09-27,Friday,False,False
성북구,4046,20.84206623826001,2024-09-27,Friday,False,False
송파구,17019,21.346025030847876,2024-09-27,Friday,False,False
양천구,11757,18.293867483201495,2024-09-27,Friday,False,False
영등포구,17763,22.66829927377132,2024-09-27,Friday,False,False
용산구,3734,28.17996786288163,2024-09-27,Friday,False,False
은평구,4549,21.007474170147287,2024-09-27,Friday,False,False
종로구,6341,20.871313672922252,2024-09-27,Friday,False,False
중구,4729,22.81327976316346,2024-09-27,Friday,False,False
중랑구,5145,19.42351797862002,2024-09-27,Friday,False,False
