STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,685,29.65255474452555,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
강동구,1303,19.79278587874137,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
강북구,570,21.73508771929825,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
강서구,3367,17.21146421146421,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
관악구,1042,22.049904030710177,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
광진구,1402,22.873038516405135,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
구로구,1019,22.561334641805693,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
금천구,418,24.363636363636363,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
노원구,1805,19.9213296398892,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
도봉구,679,22.273932253313696,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
동대문구,1141,21.307624890446977,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
동작구,510,23.67058823529412,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
마포구,1512,28.66931216931217,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
서대문구,716,26.143854748603353,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
서초구,819,29.531135531135533,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
성동구,933,25.389067524115756,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
성북구,782,22.407928388746804,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
송파구,2713,22.910062661260596,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
양천구,1797,20.535336672231495,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
영등포구,2010,24.51592039800995,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
용산구,614,27.9885993485342,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
은평구,951,23.360672975814932,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
종로구,938,20.479744136460553,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
중구,581,23.52667814113597,2022-01-01,Saturday,True,True,2.0,-10.2,-6.6,44.3,0.0
